search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
204, Fone De Ouvido Sem Fio Bluetooth Academia Corridas Malhação ,53,59,107,9928,12x,5.16,NA,Envio para todo o país,NA,NA,4,7,https://perfil.mercadolivre.com.br/HARDFAST_INFO?brandId=2311,https://produto.mercadolivre.com.br/MLB-743699258-fone-de-ouvido-sem-fio-bluetooth-academia-corridas-malhaco-_JM,3,2,1,1,0,#743699258,Universal,Fone Ouvido Sem Fio,Favix 777,777,In-ear
205, Fone De Ouvido Sem Fio Edifier W800bt Bluetooth Rev Oficial ,250,NA,80,13,12x,20.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,917,https://perfil.mercadolivre.com.br/ELETROHALEN,https://produto.mercadolivre.com.br/MLB-1096627343-fone-de-ouvido-sem-fio-edifier-w800bt-bluetooth-rev-oficial-_JM,769,119,23,3,3,#1096627343,Edifier,W,W800BT,800BT,Over-Ear
206, Fone Ouvido Bluetooth 4.2 Par I7s Tws Sem Fio Case Base ,28,NA,624,6,6x,5.24,NA,Envio para todo o país,NA,NA,3.4,8,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1158138352-fone-ouvido-bluetooth-42-par-i7s-tws-sem-fio-case-base-_JM,3,1,1,2,1,#1158138352,Universal,NA,NA,NA,NA
207, Fone De Ouvido Jbl Reflect Mini Bt 2 Bluetooth Sport Azul ,309,NA,223,62,12x,25.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,158,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-963169942-fone-de-ouvido-jbl-reflect-mini-bt-2-bluetooth-sport-azul-_JM,108,33,7,4,6,#963169942,JBL,Reflect,REFLECT MINI BT2 PRETO,JBLREFMINI2BTBLUBR,Ear-Buds
208, Fone Ouvido Bluetooth 4.2 Par I7s Tws Sem Fio Case Base ,29,NA,124,6,5x,5.84,NA,Envio para todo o país,NA,NA,2,5,https://perfil.mercadolivre.com.br/OLIST?brandId=866,https://produto.mercadolivre.com.br/MLB-1079182396-fone-ouvido-bluetooth-42-par-i7s-tws-sem-fio-case-base-_JM,0,1,1,0,3,#1079182396,Universal,NA,NA,NA,NA
209, Fone De Ouvido Sem Fio Sport Radio Fm Mp3 Player Boas Lc702s ,41,NA,153,7,6x,7.77,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,2.8,6,https://perfil.mercadolivre.com.br/DIGITAL+JE,https://produto.mercadolivre.com.br/MLB-1049756381-fone-de-ouvido-sem-fio-sport-radio-fm-mp3-player-boas-lc702s-_JM,1,2,0,1,2,#1049756381,BOAS,NA,LC-702S,NA,In-ear
210, Fone De Ouvido Sem Chamadas Profissionais Frete Grátis ,120,NA,48,18,12x,10.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/FLASHFOUR,https://produto.mercadolivre.com.br/MLB-1096081917-fone-de-ouvido-sem-chamadas-profissionais-frete-gratis-_JM,1,0,0,0,0,#1096081917,Universal,NA,V8s,NA,Headset
211, Fone Bluetooth Ouvido Bluetooth Kaidi Kd-901 Promoção Com Nf ,59,NA,109,4,12x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.8,4,https://perfil.mercadolivre.com.br/LIBERTAD.COM.BR,https://produto.mercadolivre.com.br/MLB-1117621714-fone-bluetooth-ouvido-bluetooth-kaidi-kd-901-promoco-com-nf-_JM,2,0,1,1,0,#1117621714,Kaidi,NA,KD-901,NA,In-ear
212, Mini Fone De Ouvido S530 V4.0 Bluetooth Nokia Apple Xiaomi ,22,NA,44,126,4x,5.74,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/SUPER25_,https://produto.mercadolivre.com.br/MLB-905221333-mini-fone-de-ouvido-s530-v40-bluetooth-nokia-apple-xiaomi-_JM,1,1,0,0,0,#905221333,Universal,NA,S530,NA,NA
213, Fone De Ouvido Sem Fio Bluetooth Headset J3 J4 J5 J7 Prime ,35,NA,141,881,6x,6.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,5,https://perfil.mercadolivre.com.br/LARTEC+MAGAZINE,https://produto.mercadolivre.com.br/MLB-1143747307-mini-fone-de-ouvido-bluetooth-503-tf-academia-sport-bt-_JM,4,0,1,0,0,#1143747307,Wolf Tech,Sem fio,503 TF,3,Headset
214, Fone Ouvido Headset Bluetooth 4.1 Sem Fio Stereo Amw-810 ,47,NA,2681,363,10x,5.45,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,65,https://perfil.mercadolivre.com.br/ALEMERC2005,https://produto.mercadolivre.com.br/MLB-1114212288-fone-de-ouvido-i7-tws-bluetooth-airpods-iphone-android-sfio-_JM,36,12,7,3,7,#1114212288,TWS,airpods,Airpods i7S,NA,In-ear
215, Fone De Ouvido Bluetooth Beats Sem Fio Notebook Tv Smart ,59,NA,1181,264,12x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,48,https://perfil.mercadolivre.com.br/DEFL6836446,https://produto.mercadolivre.com.br/MLB-1113345605-fone-ouvido-in-ear-bluetooth-41-sem-fio-micro-melhor-qualid-_JM,27,6,7,2,6,#1113345605,Universal,Universal,X3,3,In-ear
216, Fone Ouvido Sem Fio Bluetooth Universal Mini Bh-503 ,1117,NA,32,5,12x,93.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,2,https://perfil.mercadolivre.com.br/SHOPNGO+ECOMMERCE,https://produto.mercadolivre.com.br/MLB-1155441747-fone-de-ouvido-bose-soundsport-wireless-free-preto-promoco-_JM,0,2,0,0,0,#1155441747,Bose,Soundsport Wireless Free,Soundsport Wireless Free,NA,Ear-Buds
217, Fone Ouvido Bluetooth Fm Mp3 Cartão Sd Ultrabass Hz18 ,52,NA,15,18,10x,5.20,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PRESIMPORT01,https://produto.mercadolivre.com.br/MLB-1222604251-fone-de-ouvido-sem-fio-bluetooth-m11-longa-duraco-5-hora-_JM,NA,NA,NA,NA,NA,#1222604251,JWCOM,bluetooth,FO-M11,FO-M11,In-ear
218, Fone De Ouvido Bluetooth 4.1 Mini Portátil Chamada Música ,239,NA,300,22,12x,19.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,215,https://perfil.mercadolivre.com.br/FUC_LK,https://produto.mercadolivre.com.br/MLB-1229393971-headphone-hi-fi-w800bt-bluetooth-edifier-preto-_JM,178,30,5,1,1,#1229393971,Edifier,NA,W800BT,NA,Over-Ear
219, Fone De Ouvido Bluetooth Jbl T110bt Original Com Nfe+ 1ano G ,287,NA,124,23,12x,27.52,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,20,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1146537443-fone-de-ouvido-jbl-endurance-jump-bluetooth-prova-dagua-_JM,16,3,1,0,0,#1146537443,JBL,Endurance Series,JUMP,ENDURANCEJUMP,Clip-Ear
220, Fone Ouvido Bluetooth Sem Fio Micro Sd Fm Jb950 Mp3 ,58,NA,74,126,12x,5.64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ESSASCOISAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=1ck9Wh29Wj0V7%2B9EQo5FIK33jtDmmouWSBWSUBhgEPSEo%2FFSAsuRmVLwJF87sx3RUrLw%2BgbAXFwSRBXbhRYbf4WQV0wJHHPHDXHoLo2q8olPcgb4Z0RMYsFx%2F8dg0FQ6vIJaqankPIGw%2BYbUi6rPnJfvxYuZDCVkEirDHCHv3fH0%2FD7TeqqOXLNB45WGv5h7J0k8omV%2Fol%2BtbAqd7Rw9X6T5XqYztVyFSztZ0qSWu5lnkKsJ2csJfyMBXMr%2FGtT9lmHne2VEi6rxJJS6m41ERMF1HpNXZPo6lUMtKUmaxZxKQB64dTICSbLCExIcRLzvUMOpOVY%2Fak2HvmYL6PAAc%2B21XvEiezl9uqFUrLwMjpJ4cB9A0j8YgkEF6HqDfnmN7W%2FrY%2BisRIdgLctWy4KPqY%2F9Ukcn0gxLolzm%2Fhjk7RhY1cxlJomrjpTvyAwVPxxTpP21mLhRIsMKfdZON%2By%2BqDsz0Wzk8eByTJNbFGwh2GpUuMgOpzdYumihM8te6TXbB4fCPnu9b37A3aT9tK%2FajUK%2BTCuWr7vjnWKASeBN95iJ0tfMRZgMt17fi%2FSK09yAtpV%2BpOTomp0ZSoKT%2BBSkFMlNE%2F7qXXNd5OjXfKxjAw%2BkvuUIOeGKbW%2F2J81faSzTA%2B3bGwFN5fGb%2B2xoP5WAU8FOYqx3VYj2YSL6l81PHKXIUclVvDaFJ5t%2BoCuUoaCqRgoRmYskc%2BeC2YkEi8GHDQXLZdzeXl%2BN5tgUakkPhHtcIDx3yW7Bpv202D0u57%2BabCNtnSQ95dasYnpDcEFZ9lWFkMOgVmBVuJixaq2ehAAkyoycqDEFM%2FjLGYxyV%2BSSl65djD4SFgGVoPn2N7KUfmt8aFbkNSkcRfGAFjBaST9Ej9K3SbMypntC8V7dkfmtHe7baydzR3LHTWdv9nv%2FM3lhJQndI4oJ849ZZnRiQAUmxQhvSp772PG1Hqx7rDTc6ek3rg%2Byh9LLOQSZpAAksn2ldafwfL01oQoP42WN0rdHbPQ%2FehM%2Fv5Qs6J6dXguuFqPpn%2Bv846Ya%2BDzz7hsAw61mQDxvLn0BRQC%2FcRsa%2Fc63UVQj%2FYDZ5NPgJU3aOIK4tO6%2Fwp1quUpeu%2F40P0b7vfhsBBonyZatIrUeB5ZUAYBHujyPNsweBF53vq4rOeVJxFVB0tKncrkgrWjBZNZgJGirlNGgQ0zR2eChDRFKoMG%2FCY4uJ2VAXTGEyV9I%2BcrgQBGsz5kS9eyVfmbGS9DpwNUpwcEn6Nq35zWkA%2BjGnY1DCsCBc%2BOIs5VNeXKac9jHAbLG%2FSW6CwRRQpu%2FuC8YWCfDxOfI4wG3cvXZlqInjH4oUqlYKP5%2F9ay1Foz9MOgQXRAmOcTAsNrDivnsDHKqDUt489ot%2FnAXStqhs0OiNVCo%2FnnXM7DQ%2Bfg5HK3rj3ele%2B2jr68eWnzvv5DJd3rJ%2B6Fwa1xzdT%2Bmuw6pbEazFvjHdPUgNOkYlr9muhlmMLPfpiMQjX7iZJ7%2BcBOZDRZ02rIk2pZPi8iSmeUqGXl0q8xvoXI6nVtbPodn69SDPUmXCUMl71Ixipmd70NhVZ%2BidVeXX2%2Ff,NA,NA,NA,NA,NA,#1230633139,J&B,JB950,Over-Ear,SEM FIO,Over-Ear
