search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
1642, Caixa Caixinha Som Portatil Via Bluetooth Mp3 Pendrive Pc ,44,NA,"
			
				Novo
			
			
				
					 - 
				
				49
				vendidos
			
		",(26 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 744
		
		 sem juros
		
	

	
		",44,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-922167699-caixa-caixinha-som-portatil-via-bluetooth-mp3-pendrive-pc-_JM,NA,NA,NA,NA,NA,#922167699,Yes,MS-193BT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,300 g,NA
1643, Caixa De Som - Bluetooth Usb Ent Microfone - Frete Gratis ,133,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1281
		
		 sem juros
		
	

	
		",81,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VENDAS.MIX.OFERTAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=jj5HymPFPteFkQL58%2FozV893Fz6d0sVZIOEPHGfVEqHhUPoLiwocbmjh7RN22QrupTZadn4%2Flj6ywTwp2xtKxg23sdRLqCEIMvB9ot7lst5tDoy%2BjLcZhc4QoOkdnlkp1jxCXZvSIs%2Bjya3bxoZy9spGA9NoW%2F2AUBQQaGTn0lR7kz5BZPHddREpr08SuaX8tyAX3ECf%2FGkg%2BW08kKknVdK%2BMpiub6mCCf3gnxqkFfK8Zt34%2BIEoaIuLuXznd%2BIkaX8u2ojHN4WDPShcCyuUKC4I3CXAx6GOqsLhVW8PkrXUXfysvqW0cqO%2BTD%2BJA4l5qPMpmOzr0x6iJO1Mk3AJJSys2DMexpyvY6W8wJJAdtOCYEpB8mUmVbUY%2FLjte%2FiElNkjvTwsZ8VrgHY4AntNaDJczQtzVMeRGZKTuN0W8jtnmmj9SgftsJAchyKn0j%2BusMPEQZkaZdstu1%2F%2FR4iteTfYB2Q%2F9vfbgH2q9XmUAFsR%2FDSU2vJDvdMS5v4ZQqxwiodw7P5VNB1ymMVEcUqV6tbUspP8FqAyABDnEE8ZHsphpDAnBY5KwFTtPZ%2BbRQCEaY7YbHXZhLEjYCGAWGOH7rrewZoojSggdba5%2F5q3w8%2BBcOdPCmHb0W9VXX9v3tyUAzD6s91KkQNR7bEY3R%2FzHs2a3W9XxmnHMCjweRElxX7n2cnD9k0HRuVGBbQ3BxZIe%2BdcAw6MKjNZ1I3I%2FccjHzalcwasmO4xJMOQWM%2Bg7q6ypU3weiqJMNfO508grYnvs38j1ZOtUJEeVFVsZzZUDcqHw9X5yf0puztRtKi7ppiAUNrV%2FVEm5GBLO8ts9kSxAwVDR2dBrR8Srd9LIDkoshLU40oAYyPfAXw2mZBEbZK4lwGV2BkJh1Dd7nAjkl2bn4UPUHiqCKDTQpNGuBx0dsULcUTnznTdutdidowq7iQ6woUi7ajBdVAq1M3HNDtUJMHLozZtYfKrlbv%2BzFsK%2B8RQUMXNEOWd3Q%2BOsfq14WB7pqIGJSmZIboAq2cK3L%2BijrS5BADM159fnPPLNiWDn6y3pdrK6GOhdbBcyg4R%2BBUbhByVD6hZLT%2FhXwRvXjyCGifgY3BXGuh%2BnZgHL9t5HG%2FA2PsVAKppspN%2BCM%2F52hrMOeDTdNmZ2GGatSQc5TZpI0EJMoL4k17v2w3fuGIACGLkanUmE%2B8kdKL23YTzhnZKkdFgVMePavpxqJnWxt5xvxKeVvIGV7CbkTeQ7ZB7NdkfvgJSqUE5K2FIoxd9JqzfyfpK7rLkZPDUBs2mvTOIyWs02ltauKl2aHQ11ZjDbzmWjkpWPlU45A54nJL%2BN6Zts2dCYVQFXYwZrH8QISRisUStQ%2BPPlyCBQvSGrexm74Px6Zd6GCwWKA545nM1SHuIPGtZYTeYqKLjdOimZbqhurh%2FBhD876oyvZ5t3WmAFBek2PinIUJrKzkioeMOAf51FxwATj6o8uE5f0%2BDasnLqnifiCIGRHOOnJyCWA7GfolMJs1FC1yx%2FTdbXUgsAd3Ly%2Fv1Xx9RJRYJNmS67v1pkt%2FdQUSMah7Ham7q88aLkY%2B4gpnLwNZV5g5bL%2FAnkINrvlCr9LVtn1xk8j2b2D3VXbguLyy6hCtotsauPEOtqao3%2BUgCo8VtAQ793yo7XU%2BfYbOTfaaX%2BOTpBVX51aAOnhNIXYomLWvmM7lNG7s%2FjD8hRhnh8gSz8mp%2FjX80oPMnCt%2FnzBz%2BhOhX2kU9ElHl%2BzKPK%2BB3BWBBsiUuy2FR351u7pmq2vt1gmFrwPufF7%2FZa3KneETa%2BR%2BmEgCMtHG4w5oSay2CqxqcrkepXg%2F8MKlQZppP2PxNgIVmZnBh%2F4qMg3wJxnxnCInQjJtRcvp2p6Xp27GmM0dilwsa45U7glqa5MTezbA0x%2ByBQNjx8jegwmI%3D,NA,NA,NA,NA,NA,#1274250249,Infokit,RADIO Bluetooth,12 W,imbutido,NA,NA,NA,NA,NA,torre,portatil,oval,nao,NA,NA,NA,NA,NA,NA,NA,NA
1644, Caixa De Som Digital Bluetooth Com Suporte Celular Oferta!!! ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PETIT+BRINQUEDOS,https://produto.mercadolivre.com.br/MLB-1186870459-caixa-de-som-digital-bluetooth-com-suporte-celular-oferta-_JM,NA,NA,NA,NA,NA,#1186870459,Inova,RAD 386Z,5 W,"40hns,5watts,100mm",NA,NA,NA,NA,NA,"40hnns,5watts,100mm",NA,Caixa,radio-FM 87.5-108MHz,NA,NA,NA,NA,NA,NA,NA,NA
1645, Caixa Som Amplificada Ativa Passiva 1000w 12 Line Array Guia ,2308,NA,"
			
				Novo
			
			
		",(10 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 19241
		
		 sem juros
		
	

	
		",41,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/NHL.PRO.SOUND,https://produto.mercadolivre.com.br/MLB-1169735305-caixa-som-amplificada-ativa-passiva-1000w-12-line-array-guia-_JM,NA,NA,NA,NA,NA,#1169735305,NHL ProSound,12-1000-GOLD,1000 W,NA,NA,NA,NA,NA,NA,NA,NA,Line array,NA,NA,NA,NA,NA,NA,NA,NA,NA
1646, Caixa De Som Amplificada Frahm Cm 1800 Bt Rms 600w Multiuso ,1449,NA,"
			
			
				
				2
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 13857
		
		 sem juros
		
	

	
		",57,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,7,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1031899451-caixa-de-som-amplificada-frahm-cm-1800-bt-rms-600w-multiuso-_JM,5,1,1,0,0,#1031899451,Frahm,CM 1800 BT,NA,NA,NA,NA,CM,NA,NA,NA,NA,Caixa,NA,NA,Auxiliar,NA,920 mm,300 mm,440 mm,13.6 kg,NA
1647, Caixa De Som Jbl Link 300 Envio Imediato ,749,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7159
		
		 sem juros
		
	

	
		",59,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BETAPRES,https://produto.mercadolivre.com.br/MLB-1252296999-caixa-de-som-jbl-link-300-envio-imediato-_JM,NA,NA,NA,NA,NA,#1252296999,JBL,Link 300,50 W,Ativo,NA,NA,Link Series,NA,NA,Super tweeter,De parede,Caixa,2.1,NA,NA,NA,NA,NA,NA,NA,NA
1648, Caixa De Som Bluetooth Jbl Clip 2 De 3w Preta Original ,230,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1925
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,22,https://perfil.mercadolivre.com.br/SQICOMERCIOESERVICOSLTDA,https://produto.mercadolivre.com.br/MLB-983107487-caixa-de-som-bluetooth-jbl-clip-2-de-3w-preta-original-_JM,18,2,0,0,1,#983107487,JBL,Clip 2,3 W,Ativo,NA,NA,Control,NA,NA,NA,NA,NA,NA,NA,Auxiliar,80 dB,143 mm,94 mm,94 mm,NA,Preto
1649, Caixa De Som Amplificada Usb 20w Bluetooth Pronta Entrega ,139,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1338
		
		 sem juros
		
	

	
		",38,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJA_RADOME,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=KAI6TXviT%2BaOIkxTVkpxuOJp%2FT6jP%2BD9A51pCivHGOfHcvkPZ%2BCUqMVdMZK1qrAIHAulZPdFh2dbjcTtEiSfcpcwKcUqmiONS8ds4ZNv6qv8ALJmOudzKaxwH%2Fsf1TlVfRQo%2FcrS54tSsgKjN%2FSREWXfgL7JuavdG9kLrDH5PJzaF8tbXEDWAjcTXbWoD7xq%2BIle4mhYxEqPFKkw39CVvkURQzNUYrFJYebXCouoh%2FfzkbEw7AnMl9LPuRUYdq1jnzNAJfi8FWB2nhZpmMI3R4cXg6gdBJnNvdjpO8f9hXyMMbcax4AcxRuWBl5%2F0a2KpPBWwA%2BSJJwIZYjvclUK8msZ8rAxHfybL427n%2Bk4nquGVn4hovxPtrsJYSRH87KszUYRPmls%2FJA7CpmZEmUfjGcnPJMCaDXEiENhaWC9mEy9v5zmK%2F9s76RhsopykZAoSSJRulgTeG0WfvziqVKFV%2FzHzVR8%2Fdg9Cbm7kCxGv8UwV%2F16rVXFGtdprXW%2BFsas3qZwiKTbwZXf4owHR46SnBkjLgBLgh8rMjCFZOgzoigvodtTYDisYnvf%2B2jRNh7y2kDggiXp7vuEGnacNx%2Bk73Txs5NXk4vtSijEm6hOmQKAIySLYdAe8LO1GEDg8T2Tteofd5PvL3r8%2FCxgzQ%2FPgbSuI01fvr80XgFLRDRn1M14hjr9Spyf%2FKNQ%2BdikqJn39MVbpGD%2Bilpb0SVueXBUrpaR849ostJKObh9wv%2BcGznkAdROimiC%2BUjScdh2mipk1qxtur0JjN8D99gLjbyPknLl9qCCWwpWYZC3o4oPodMomiyx6kXlXJEsf%2Fhl60AwsULVBscFy8ovFejlAG4%2F0DL%2BAu7DHkNxI%2BmS1jKyX1pKB%2FF7eKkEedkkUS%2FuQN7PbUg9b%2BD2%2FM0%2BHJRtTuwHVCmgqgR%2FpWFM6dWuORpdDjSCSURsjqXodGMlJThEU4DtLlGNCQiIRubJuf84rgiqyB5KZjkHLPz8VHmnhdt9fj29DbKCFO8MEQA5NSS9bDtX9uQakTFwf0rg%2F4uH7rdVEGPsgCdEECJF7V0Nf1LRcVIpUTX%2BVlw45mGvcYeetEOafPMusUwFtwYuH%2BMnKPAIp1ni0A4ZTgaC4NBkrVpQFizlExK6JuKjYUhTHmd861kbFOVbydAK112r0BXZXriEG%2FTix%2Fp%2BQz5L1WdqH66a6WbEjr0MY9hpGE7rZTg7ykt2ymyee9iJEQtHdZn1mvwTGr%2BztSjm8uJN1NFbO9qEWienmMz9wkyyn1dT8I1J2GaCSR053QioJLqRJ%2FJcmTHuXmP5aOqDHETWmzPD8eJntdXP69VQU6cnS79M1WWNsNDxCL0iCOY11HnoC%2FO8I6m2eLt%2BQlo4UOHlxaqF6wiijmoBA4bdmlAycJWcBT1%2F7HFWfeMavRYdASocVKwwnJCF3Uy1fS0Acyt%2BvhUaPiQ%2Fil9WcjBMeODO78vRvlJBDggJgASbSR%2FZZHbjeiilt7ht84pfhj56rCQfD682Y6JJas7oa9S4Y9nws6%2BFfh5MztenXXFWsHeP5I0rpxVu2qpfKcIvf3KQPllPWGGI0e8%2B2Fz8yEhedT1BQYLAPPZ4CzxkOzZZFBEMs2YhlzjO2se7qCKpYgk7M1aedx1x%2FrR3rULaDA%2FP%2Fq6nl9Ovi7iFGe6%2F0jlYklNDyqDSOfp%2FWJ7OigBwLIoNgdWPJ%2Fh6sWVkn%2Fg4eJbFE6d1SlZNdTSB4mOeH%2BqYiGFXbonujEzdA8naBixxPffGVZ86jdy6l3M6bfKBlEDpihuLbboUi7zCuNj4b7i2eN8Ma57kZdXPtRtaejoDalti7t1CUxR4m70KUKI71rVAUNnZT8WX78QnZ%2B8Yty6%2FTEc1lbDJvDs0i5vUgPhHYfGGMFfCDS01FDDYi4ETUl164%2BSVKBDv,NA,NA,NA,NA,NA,#1288086108,Altomex,AL-16,15 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650, Caixa De Som Bluetooth Mp3 Usb Micro Sd 800w Pmpo Amvox ,219,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2102
		
		 sem juros
		
	

	
		",02,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-1201281439-caixa-de-som-bluetooth-mp3-usb-micro-sd-800w-pmpo-amvox-_JM,NA,NA,NA,NA,NA,#1201281439,Amvox,ACA 110,80 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,2.35 kg,NA
1651, Caixa Acústica Philco Pht80 Com Conexão Bluetooth Bivolt ,249,NA,"
			
			
				
				16
				vendidos
			
		",(187 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2082
		
		 sem juros
		
	

	
		",82,NA,Envio para todo o país,NA,NA,5.0,3,https://perfil.mercadolivre.com.br/BRITANIAELETRONICOSSA15E?brandId=199,https://produto.mercadolivre.com.br/MLB-925299865-caixa-acustica-philco-pht80-com-conexo-bluetooth-bivolt-_JM,3,0,0,0,0,#925299865,Philco,PHT80,80 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1652, Caixa De Som Para Eventos Ao Ar Livre C/ Bateria Amplificada ,779,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(50 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6500
		
		 sem juros
		
	

	
		",00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LOJAVALENCIO,https://produto.mercadolivre.com.br/MLB-930035017-caixa-de-som-para-eventos-ao-ar-livre-c-bateria-amplificada-_JM,NA,NA,NA,NA,NA,#930035017,Sumay,Infinity,300 W,Ativo,NA,NA,NA,NA,NA,"Alto-falante 12”, Subwoofer 12"", Tweeter 5""",NA,Torre,NA,NA,"USB, SD, Auxiliar, P2",NA,NA,NA,NA,7.5 kg,NA
1653, Caixa Multiuso 8 Pol 110w Oneal Robust Ocm 2908 Bluetooth ,359,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2999
		
		 sem juros
		
	

	
		",99,NA,Entrega a combinar com o vendedor,NA,NA,5.0,1,https://perfil.mercadolivre.com.br/EMUSIC103,https://produto.mercadolivre.com.br/MLB-1111703090-caixa-multiuso-8-pol-110w-oneal-robust-ocm-2908-bluetooth-_JM,NA,NA,NA,NA,NA,#1111703090,O'Neal,OCM 2908,110 W,NA,NA,NA,NA,NA,NA,NA,De piso,Caixa,NA,NA,NA,NA,NA,NA,NA,3.75 kg,NA
1654, Caixa De Som 2 Microfones Amplificada Bluetooth ,649,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(12 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5408
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/TRINITY+IMPORTS,https://produto.mercadolivre.com.br/MLB-1234750851-caixa-de-som-2-microfones-amplificada-bluetooth-_JM,NA,NA,NA,NA,NA,#1234750851,Sumay,sumay,300 W,Ativo,NA,NA,NA,NA,NA,ativo,diversos,12 polegadas,ativos,NA,USB,NA,NA,NA,NA,7.5 kg,NA
1655, Caixa Bluetooth Jbl - Envio Imediato ,139,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(154 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1158
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/COBAN+SHOP,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=n%2Bfzfs7Y8eJCpyN9ilbWu5cz3E67nt6v3BOURkBOKf96cRpzIGIZCTRN3uQ1OJaxbSwZkGidoMQi7p3%2FXVm19O9sfiVAIrrmo3tvSLD1vTl%2FR%2BkiIlnucTpk7ECqYlU9T6Z6y6idL%2BtlsOjhpXQNfVsxEidVU%2FTYBE2PmWtjGujneGBPNP2T1zdWiUuG7v66HVgG3%2FUGo68NgXOHoFaQymxO7LYCSW025Xee6%2FUj%2BkEnpmb2QCgFcV5x8WBirXAGkgHT3olkQ0T%2FKJ9wiapgDMx8VzVhePl6nu5CAAwI9NzQkSz3%2BaWUHwNBt96E%2FgrX3Nrh8%2FCUSppPNOAIY3beZduix7L207SD0oC56wrHTSRWWoXbf21Wxj%2ByETRBOSR79ApNpIH3eTJl2V6qVFP%2Bbl7AnImXZNpZHuL0GvVGlGikFpGnszASMFqRNtubCzbb4g6w10aB4LJuc%2BPx8FqOJYlKLOcQXb%2BYI2rPqZH%2FkC1uL%2F5CBFNuoZZXqxdSDO33CceFaEgYcny2XywZVe9vnWk1BIQRsXE2Y6XfmDQnWE4%2BtDbHbvN6ftLPdm30Kesa%2FYstD0xSdqhYeVB2%2BUJylWOPrFTEPshvDDFDDvWkVdLRSnocd%2FH2b%2FqgdYlVMY%2FNr0gmwZjdRKi5mTZpGSDSJiyDGoG8xAgAga9ejF%2FxLSSBerGh3BNCPMSFi3vfIiIHeriSc%2BGviP3da8GgLG%2Bp9lcbEBMJTWaMLllR79SdRUYJsS9EGTqjYCshcBmGzuU7OkUx%2FvBdi5byAqksLuwv5nFix65f0WkALxXKFLEdNU0%2BY3M3Xg6bPanLMHZQp7wWW0clTgvAyUrw4af2iQ3jThonuCRX15fAlluXT8RIMaioQeYWu1obUL%2BkhGpFe6QW1H35d5HiEAIJgTAhItU9ce2p86HBMKgRC1TO7r7SgAdnFcuQJA8JWXUvdBPelb0Rts221SO3O2srrXCuRxcZ%2Fk2VPTgOsJ41LG9oUUJJTOQdaeDFF5r4A0NIbWl88sP8qmsgZUs8UazR9aOGGV%2FayJTx0MUfxFr%2BL1fIDq4%2FbXuNZXVNQwPKlYr4hDjBKssvu97mRvnLSxwFghqY1nH8wKbOjVL%2FOmLNA6kunIoAnCbjcx6PQZMcfr15N3IsW9aiUc8z2M4SzynEWzY95XCyRQ6eFNwAADI1CIAtxbBL61K49oAFRqQxLtMjQkZwUcztFLAAghqooIhftxMlr254ZTeB%2B7MBe7O8ux9kOa%2B8w4V4a3j%2FWd9NYSHd67t0JclUA3Qo%2BxOcn5ZYJ9jbkyfIgNOdODwDVoinHp%2F43jSOJwyLzHCixzBs%2By3R7Oo2n1GndozQKmLMDSCHOvfkbWBFpYIowCFTMcZUwe2kah5H8WLBCQvclAexf%2BDMfJ82V9bB8rhCIgKvmnk0rYQkHA5M%2BY64jgz6OQKRg0xsxHyli9%2Bmoe9xoE9HyfNSmvjfg%2F1ALM2kNcZih9cqW3ocBGLqxD2ZnrHq9pJynAH1nMyNnu8a3JJ1vQMjh5ArwXhNVlKJKiSP8zkkJKy6GY%2FPSfaADntOoZ4ZOqDaTFy5tRtZ7IjlDF8l%2BGjBieXoxhplcaobOwBiOtlI%2BPrAnJOOiFGe7cbW2jj6%2F2g4%2BWNiJIChVYo4cNgoz5szCuq4L7AKC4rBiFIfO074hPcOLUCJhQLukAStZJ9tlfPUV2HxZ0yzIW00cqtooQo4TWHis5u%2BfegvknF6SD%2FyJ2t4S%2FEZ9GlKdbKaoVkeXRyGJXAz%2B7KvMIo3ClzpwOsZwQkZAtPuND%2F8JpXXCwvUQA2ENK6CqUmUwq0AAuL8dvaOADFCpzYJu8V5Fv6TlUWSpCCl2GsaD3cgO8kYIuFOufe4rMBz82zWtlRJkOyps7uyQDWoxx9tc3Ef%2FIg%2Fb4yrXEAuBs4dAA%3D%3D,NA,NA,NA,NA,NA,#1231303192,IMPORT,Karaokê,20 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA
1656, Caixa De Som Com Bateria Fm Mp3 Cartão Micro Sd Passar Pasta ,240,NA,"
			
				Novo
			
			
				
					 - 
				
				9
				vendidos
			
		",(86 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2294
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-945179194-caixa-de-som-com-bateria-fm-mp3-carto-micro-sd-passar-pasta-_JM,NA,NA,NA,NA,NA,#945179194,Multilaser,SP255,40 W,Woofer,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,1.88 kg,NA
1657," Caixa Som Camaro 6w Rms Fm Entrada Usb, Micro Sd E Auxiliar ",45,NA,"
			
				Novo
			
			
				
					 - 
				
				14
				vendidos
			
		",(86 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 851
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CR10+IMPORTS,https://produto.mercadolivre.com.br/MLB-913032167-caixa-som-camaro-6w-rms-fm-entrada-usb-micro-sd-e-auxiliar-_JM,NA,NA,NA,NA,NA,#913032167,Importada,Camaro,6 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,7.1,NA,"Auxiliar, Cartão Micro SD, USB, Pen Drive",NA,NA,NA,NA,NA,NA
1658, Caixa De Som Multilaser Sp217 Bluetooth Led Amplificada Usb ,349,NA,"
			
				Novo
			
			
				
					 - 
				
				781
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3336
		
		 sem juros
		
	

	
		",36,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,1226,https://perfil.mercadolivre.com.br/ITF+01,https://produto.mercadolivre.com.br/MLB-814570551-caixa-de-som-multilaser-sp217-bluetooth-led-amplificada-usb-_JM,927,235,38,7,19,#814570551,Multilaser,SP217,80 W,NA,NA,NA,Audio,SP217,NA,NA,NA,NA,NA,NA,Entrada para Microfone,NA,NA,NA,NA,NA,NA
1659, Caixa De Som Portatil Bluetooth 20w Shocker M90 ,330,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2750
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DCA+BIKES,https://produto.mercadolivre.com.br/MLB-1073165515-caixa-de-som-portatil-bluetooth-20w-shocker-m90-_JM,NA,NA,NA,NA,NA,#1073165515,Jonter,M90 Speaker,20 W,Subwoofer Robust Sound,NA,NA,NA,NA,NA,Subwoofer,"Bluetoofh Connection, Bluetooth Speaker",5w*2,5.1,NA,NA,NA,NA,NA,NA,NA,NA
1660, Caixa Som Amplificada Bluetooth 200w Portátil Microfone Led ,518,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4322
		
		 sem juros
		
	

	
		",22,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MCACESSORIO,https://produto.mercadolivre.com.br/MLB-1184954096-caixa-som-amplificada-bluetooth-200w-portatil-microfone-led-_JM,NA,NA,NA,NA,NA,#1184954096,Amvox,ACA 252 PRETO BIVOLT,200 W,Ativo,NA,NA,NA,NA,110/220V (Bivolt),Subwoofer e Tweeter,"De piso, De mesa",Caixa,2.1,NA,NA,NA,NA,NA,NA,8.6 kg,Preto
1661, Caixa De Som Portátil Auxiliar P2 Bluetooth Mp3 Potência 8w ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 851
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBAL+ELETRONICS_,https://produto.mercadolivre.com.br/MLB-1207305229-caixa-de-som-portatil-auxiliar-p2-bluetooth-mp3-potncia-8w-_JM,NA,NA,NA,NA,NA,#1207305229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1662, Caixa Som Portatil Amplificada Bateria Interna Cm1800 Frahm ,1499,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 12499
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/RGOMESACESSORIOS,https://produto.mercadolivre.com.br/MLB-1262548108-caixa-som-portatil-amplificada-bateria-interna-cm1800-frahm-_JM,NA,NA,NA,NA,NA,#1262548108,Frahm,Cm 1800,600 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14 kg,NA
1663, Caixa De Som Amplificada Multiuso Cm 1800 Bt Luz De Leds Usb ,1449,NA,"
			
			
				
				1
				vendido
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 13857
		
		 sem juros
		
	

	
		",57,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,7,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1223682177-caixa-de-som-amplificada-multiuso-cm-1800-bt-luz-de-leds-usb-_JM,5,1,1,0,0,#1223682177,Frahm,CM 1800 BT,600 W,NA,NA,NA,CM,NA,NA,NA,NA,Caixa,NA,NA,Auxiliar,NA,920 mm,300 mm,440 mm,13.6 kg,NA
